Дата,User ID,Username,Function Type
2025-04-27 22:20:30,5364888869,noon_day,delete_regular_list
2025-04-27 22:23:53,5364888869,noon_day,main_menu
2025-04-27 22:23:56,5364888869,noon_day,delete_menu
2025-04-27 22:23:57,5364888869,noon_day,delete_regular_list
2025-04-27 22:24:01,5364888869,noon_day,main_menu
2025-04-27 22:24:02,5364888869,noon_day,list_trackings
2025-04-27 22:24:03,5364888869,noon_day,main_menu
2025-04-27 22:24:04,5364888869,noon_day,delete_menu
2025-04-27 22:24:05,5364888869,noon_day,delete_threshold_list
2025-04-27 22:24:08,5364888869,noon_day,main_menu
2025-04-27 22:25:18,5364888869,noon_day,main_menu
2025-04-27 22:25:20,5364888869,noon_day,list_trackings
2025-04-27 22:25:21,5364888869,noon_day,main_menu
2025-04-27 22:25:23,5364888869,noon_day,delete_menu
2025-04-27 22:25:24,5364888869,noon_day,delete_regular_list
2025-04-27 22:25:25,5364888869,noon_day,main_menu
2025-04-27 22:26:13,5364888869,noon_day,main_menu
2025-04-27 22:26:14,5364888869,noon_day,delete_menu
2025-04-27 22:26:15,5364888869,noon_day,delete_regular_list
2025-04-27 22:26:16,5364888869,noon_day,delete_menu
2025-04-27 22:26:17,5364888869,noon_day,delete_threshold_list
2025-04-27 22:26:18,5364888869,noon_day,main_menu
2025-04-27 22:26:35,5364888869,noon_day,main_menu
2025-04-27 22:26:36,5364888869,noon_day,regular_set_ticker
2025-04-27 22:26:38,5364888869,noon_day,main_menu
2025-04-27 22:26:39,5364888869,noon_day,threshold_set_ticker
2025-04-27 22:26:40,5364888869,noon_day,main_menu
2025-04-27 22:26:41,5364888869,noon_day,delete_menu
2025-04-27 22:26:42,5364888869,noon_day,delete_threshold_list
2025-04-27 22:26:43,5364888869,noon_day,delete_menu
2025-04-27 22:26:44,5364888869,noon_day,main_menu
2025-04-27 22:26:46,5364888869,noon_day,timeframe_choose
2025-04-27 22:26:50,5364888869,noon_day,main_menu
2025-04-27 22:26:54,5364888869,noon_day,list_trackings
2025-04-27 22:26:54,5364888869,noon_day,main_menu
2025-04-27 22:26:58,5364888869,noon_day,main_menu
2025-04-27 22:35:24,5364888869,noon_day,main_menu
2025-04-27 22:35:25,5364888869,noon_day,list_trackings
2025-04-27 22:35:26,5364888869,noon_day,main_menu
2025-04-27 22:35:27,5364888869,noon_day,delete_menu
2025-04-27 22:35:28,5364888869,noon_day,delete_regular_list
2025-04-27 22:35:29,5364888869,noon_day,delete_regular_confirm
2025-04-27 22:35:30,5364888869,noon_day,delete_regular_list
2025-04-27 22:35:32,5364888869,noon_day,main_menu
2025-04-27 22:35:59,5364888869,noon_day,list_trackings
2025-04-27 22:36:03,5364888869,noon_day,main_menu
2025-04-29 09:52:36,5364888869,noon_day,main_menu
2025-04-29 09:52:38,5364888869,noon_day,list_trackings
2025-04-29 09:52:39,5364888869,noon_day,main_menu
2025-04-29 09:52:40,5364888869,noon_day,regular_set_ticker
2025-04-29 09:52:41,5364888869,noon_day,regular_set_interval
2025-04-29 09:52:42,5364888869,noon_day,regular_confirm
2025-05-03 14:57:29,5364888869,noon_day,main_menu
2025-05-03 14:57:31,5364888869,noon_day,regular_set_ticker
2025-05-03 14:57:33,5364888869,noon_day,regular_set_interval
2025-05-03 14:57:34,5364888869,noon_day,regular_confirm
2025-05-03 14:57:40,5364888869,noon_day,main_menu
2025-05-03 14:57:41,5364888869,noon_day,delete_menu
2025-05-03 14:57:42,5364888869,noon_day,delete_regular_list
2025-05-03 14:57:44,5364888869,noon_day,delete_regular_confirm
2025-05-03 14:57:44,5364888869,noon_day,delete_regular_list
